timestamp_ms,equity,timestamp
1720250460000,0.0099054900,2024-07-06T07:21:00+00:00
1720250520000,65.1340073100,2024-07-06T07:22:00+00:00
1720250580000,65.1343673100,2024-07-06T07:23:00+00:00
1720250640000,65.1345473100,2024-07-06T07:24:00+00:00
1720250700000,-4010.7817007400,2024-07-06T07:25:00+00:00
1720250760000,-4011.3928800000,2024-07-06T07:26:00+00:00
1720250820000,-4011.3928800000,2024-07-06T07:27:00+00:00
1720250880000,-4011.3928800000,2024-07-06T07:28:00+00:00
1720250940000,-4011.3928800000,2024-07-06T07:29:00+00:00
1720251000000,-4011.3928800000,2024-07-06T07:30:00+00:00
1720251060000,-4011.3928800000,2024-07-06T07:31:00+00:00
1720251120000,-4011.3829537200,2024-07-06T07:32:00+00:00
1720251180000,-3946.1658378150,2024-07-06T07:33:00+00:00
1720251240000,-3946.1660378150,2024-07-06T07:34:00+00:00
1720251300000,-8857.6552684350,2024-07-06T07:35:00+00:00
1720251360000,-8858.2532023550,2024-07-06T07:36:00+00:00
1720251420000,-8858.2433362650,2024-07-06T07:37:00+00:00
1720251480000,-8793.0667125850,2024-07-06T07:38:00+00:00
1720251540000,-8793.0663625850,2024-07-06T07:39:00+00:00
1720251600000,-8793.0660625850,2024-07-06T07:40:00+00:00
1720251660000,-8793.0659625850,2024-07-06T07:41:00+00:00
1720251720000,-8793.0662125850,2024-07-06T07:42:00+00:00
1720251780000,-8793.0664625850,2024-07-06T07:43:00+00:00
1720251840000,-8793.0664125850,2024-07-06T07:44:00+00:00
1720251900000,-8793.048166855000000000000000,2024-07-06T07:45:00+00:00
1720251960000,-8663.829186272349869451697128,2024-07-06T07:46:00+00:00
1720252020000,-8663.829186272349869451697128,2024-07-06T07:47:00+00:00
1720252080000,-8663.829386272349869451697128,2024-07-06T07:48:00+00:00
1720252140000,-8663.829486272349869451697128,2024-07-06T07:49:00+00:00
1720252200000,-8663.829486272349869451697128,2024-07-06T07:50:00+00:00
1720252260000,-13517.60693178234986945169713,2024-07-06T07:51:00+00:00
1720252320000,-13518.17628402234986945169713,2024-07-06T07:52:00+00:00
1720252380000,-13518.17628402234986945169713,2024-07-06T07:53:00+00:00
1720252440000,-13518.17628402234986945169713,2024-07-06T07:54:00+00:00
1720252500000,-13518.17628402234986945169713,2024-07-06T07:55:00+00:00
1720252560000,-13518.17628402234986945169713,2024-07-06T07:56:00+00:00
1720252620000,-13518.17628402234986945169713,2024-07-06T07:57:00+00:00
1720252680000,-13518.17628402234986945169713,2024-07-06T07:58:00+00:00
1720252740000,-13518.17628402234986945169713,2024-07-06T07:59:00+00:00
1720252800000,-13518.16257018234986945169713,2024-07-06T08:00:00+00:00
1720252860000,-13518.76849662234986945169713,2024-07-06T08:01:00+00:00
1720252920000,-13518.76849662234986945169713,2024-07-06T08:02:00+00:00
1720252980000,-13518.76849662234986945169713,2024-07-06T08:03:00+00:00
1720253040000,-13518.76849662234986945169713,2024-07-06T08:04:00+00:00
1720253100000,-13518.76849662234986945169713,2024-07-06T08:05:00+00:00
1720253160000,-13518.76849662234986945169713,2024-07-06T08:06:00+00:00
1720253220000,-13518.76849662234986945169713,2024-07-06T08:07:00+00:00
1720253280000,-13518.76849662234986945169713,2024-07-06T08:08:00+00:00
1720253340000,-13518.76849662234986945169713,2024-07-06T08:09:00+00:00
1720253400000,-13518.76849662234986945169713,2024-07-06T08:10:00+00:00
1720253460000,-13518.76849662234986945169713,2024-07-06T08:11:00+00:00
1720253520000,-13518.76849662234986945169713,2024-07-06T08:12:00+00:00
1720253580000,-13518.76849662234986945169713,2024-07-06T08:13:00+00:00
1720253640000,-13518.76849662234986945169713,2024-07-06T08:14:00+00:00
1720253700000,-13518.76849662234986945169713,2024-07-06T08:15:00+00:00
1720253760000,-13518.76849662234986945169713,2024-07-06T08:16:00+00:00
1720253820000,-13518.76849662234986945169713,2024-07-06T08:17:00+00:00
1720253880000,-13518.76849662234986945169713,2024-07-06T08:18:00+00:00
1720253940000,-13518.75477333234986945169713,2024-07-06T08:19:00+00:00
1720254000000,-13519.37958087234986945169713,2024-07-06T08:20:00+00:00
1720254060000,-13519.37958087234986945169713,2024-07-06T08:21:00+00:00
1720254120000,-13519.37958087234986945169713,2024-07-06T08:22:00+00:00
1720254180000,-13519.36581369734986945169713,2024-07-06T08:23:00+00:00
1720254240000,-13519.98847848234986945169713,2024-07-06T08:24:00+00:00
1720254300000,-13519.98847848234986945169713,2024-07-06T08:25:00+00:00
1720254360000,-13519.98847848234986945169713,2024-07-06T08:26:00+00:00
1720254420000,-13519.98847848234986945169713,2024-07-06T08:27:00+00:00
1720254480000,-13519.98847848234986945169713,2024-07-06T08:28:00+00:00
1720254540000,-13519.98847848234986945169713,2024-07-06T08:29:00+00:00
1720254600000,-13519.97848993734986945169713,2024-07-06T08:30:00+00:00
1720254660000,-13454.72804057734986945169713,2024-07-06T08:31:00+00:00
1720254720000,-13454.72789057734986945169713,2024-07-06T08:32:00+00:00
1720254780000,-18391.89942627734986945169713,2024-07-06T08:33:00+00:00
1720254840000,-18392.50421127734986945169713,2024-07-06T08:34:00+00:00
1720254900000,-18392.49036027734986945169713,2024-07-06T08:35:00+00:00
1720254960000,-18393.11841857734986945169713,2024-07-06T08:36:00+00:00
1720255020000,-18393.11841857734986945169713,2024-07-06T08:37:00+00:00
1720255080000,-18393.11841857734986945169713,2024-07-06T08:38:00+00:00
1720255140000,-18393.10836187734986945169713,2024-07-06T08:39:00+00:00
1720255200000,-18327.84866500234986945169713,2024-07-06T08:40:00+00:00
1720255260000,-23267.18519310234986945169713,2024-07-06T08:41:00+00:00
1720255320000,-24725.19353463234986945169713,2024-07-06T08:42:00+00:00
1720255380000,-24725.19619213234986945169713,2024-07-06T08:43:00+00:00
1720255440000,-24725.21479463234986945169713,2024-07-06T08:44:00+00:00
1720255500000,-24725.25199963234986945169713,2024-07-06T08:45:00+00:00
1720255560000,-24725.25199963234986945169713,2024-07-06T08:46:00+00:00
1720255620000,-24725.23605463234986945169713,2024-07-06T08:47:00+00:00
1720255680000,-24725.24136963234986945169713,2024-07-06T08:48:00+00:00
1720255740000,-24725.24934213234986945169713,2024-07-06T08:49:00+00:00
1720255800000,-24725.24402713234986945169713,2024-07-06T08:50:00+00:00
1720255860000,-24725.24934213234986945169713,2024-07-06T08:51:00+00:00
1720255920000,-24725.23605463234986945169713,2024-07-06T08:52:00+00:00
1720255980000,-24725.25465713234986945169713,2024-07-06T08:53:00+00:00
1720256040000,-24725.25199963234986945169713,2024-07-06T08:54:00+00:00
1720256100000,-24725.25199963234986945169713,2024-07-06T08:55:00+00:00
1720256160000,-24725.24136963234986945169713,2024-07-06T08:56:00+00:00
1720256220000,-24725.23605463234986945169713,2024-07-06T08:57:00+00:00
1720256280000,-24725.23871213234986945169713,2024-07-06T08:58:00+00:00
1720256340000,-24725.23871213234986945169713,2024-07-06T08:59:00+00:00
1720256400000,-24725.23871213234986945169713,2024-07-06T09:00:00+00:00
1720256460000,-24725.25199963234986945169713,2024-07-06T09:01:00+00:00
1720256520000,-24725.25465713234986945169713,2024-07-06T09:02:00+00:00
1720256580000,-24725.23339713234986945169713,2024-07-06T09:03:00+00:00
1720256640000,-24725.25465713234986945169713,2024-07-06T09:04:00+00:00
1720256700000,-24725.26794463234986945169713,2024-07-06T09:05:00+00:00
1720256760000,-24725.25997213234986945169713,2024-07-06T09:06:00+00:00
1720256820000,-24725.25731463234986945169713,2024-07-06T09:07:00+00:00
1720256880000,-24725.24934213234986945169713,2024-07-06T09:08:00+00:00
1720256940000,-24725.25199963234986945169713,2024-07-06T09:09:00+00:00
1720257000000,-24725.25199963234986945169713,2024-07-06T09:10:00+00:00
1720257060000,-24725.24668463234986945169713,2024-07-06T09:11:00+00:00
1720257120000,-24725.25465713234986945169713,2024-07-06T09:12:00+00:00
1720257180000,-24725.23605463234986945169713,2024-07-06T09:13:00+00:00
1720257240000,-24725.23073963234986945169713,2024-07-06T09:14:00+00:00
1720257300000,-24725.23339713234986945169713,2024-07-06T09:15:00+00:00
1720257360000,-24725.24402713234986945169713,2024-07-06T09:16:00+00:00
1720257420000,-24725.23871213234986945169713,2024-07-06T09:17:00+00:00
1720257480000,-24725.23871213234986945169713,2024-07-06T09:18:00+00:00
1720257540000,-24725.23605463234986945169713,2024-07-06T09:19:00+00:00
1720257600000,-24725.23871213234986945169713,2024-07-06T09:20:00+00:00
1720257660000,-24725.24136963234986945169713,2024-07-06T09:21:00+00:00
1720257720000,-24725.25199963234986945169713,2024-07-06T09:22:00+00:00
1720257780000,-24725.25731463234986945169713,2024-07-06T09:23:00+00:00
1720257840000,-24725.25731463234986945169713,2024-07-06T09:24:00+00:00
1720257900000,-24725.25465713234986945169713,2024-07-06T09:25:00+00:00
1720257960000,-24725.25465713234986945169713,2024-07-06T09:26:00+00:00
