number,value,state,net_pnl,max_drawdown,sharpe_like,min_spread_pct,base_spread_pct,max_spread_pct,base_order_size_pct_of_balance,min_order_value_usd,max_order_size_pct,max_inventory_ratio,skew_intensity,volatility_window_sec,volatility_multiplier,min_profit_spread_after_fees_pct,max_daily_loss_pct,order_stale_threshold_pct,max_outstanding_orders
0,,3,,,,0.00015936368739173797,0.002207591259315309,0.018535737728612604,0.0025767177980940367,9.718409485513849,0.1650831544338625,0.31333458305107426,0.20452596420659278,88,3.996683839344419,0.0004873403018897373,0.011012995248226977,0.00036979917263671946,1
1,,3,,,,0.00013057910826282936,0.001526153891749923,0.011017238748603645,0.00835719090336857,7.454330208293529,0.0959743617360312,0.8329292702733508,0.8541179116541511,94,4.0404978714152975,0.00016044968263686295,0.06367945986673343,0.0003281799570917343,3
2,,3,,,,0.0006248599958524241,0.004966329376655182,0.009139313038778879,0.0017319668397999086,49.702172580083996,0.3171666773908948,0.5642269580968605,0.8093852811337923,74,3.7045133148074694,0.000397364806001139,0.021147023912641484,0.00018160872976324589,2
3,,3,,,,0.00010608088037193218,0.004848838051740026,0.014553145970439718,0.002995879611296116,6.508293521580819,0.2845811218019733,0.8062489918945257,0.3553715207181843,81,2.3894277345217514,0.0009169116470326474,0.05410326255386061,0.00036527332860906937,1
4,,3,,,,0.00021126115232152472,0.002181096493283128,0.007197941305350905,0.0020247316947887275,38.22678501541276,0.05791077278489321,0.31485463072125874,0.7632727967772238,118,2.234630000835706,0.0009510543927085547,0.07890591708139699,0.0009503418286245364,4
5,,3,,,,0.0002647371660525398,0.0005300093349170622,0.003940232922630461,0.007374905857016032,10.070396297452849,0.07521938772063053,0.16838609861371917,0.3721913944210308,169,4.43512312475955,0.00033021408590422054,0.09807294904454521,0.00017303969369457495,2
6,,3,,,,0.00040724448312315283,0.0015806271512649867,0.016738474023072335,0.0010376902611464785,9.494693805688,0.20622552347723327,0.2135370166518496,0.24001305943863382,140,1.1585569134945546,0.00023024724445706128,0.08955773470968861,0.00015982340714386988,3
7,,3,,,,0.0006788220209916752,0.001310127380694327,0.00302578315671628,0.0015829657332049642,7.495556329694717,0.2567830042268174,0.35512896119623427,0.8502198915850304,67,1.9449827771659973,0.00013028575366983846,0.09819139005712091,0.0003154280374301537,4
8,,3,,,,0.0007065793025119916,0.001852611708380788,0.0060960874903720165,0.0032338185301325124,25.226074436638093,0.06092794502827579,0.43653614121570805,0.23368131263079664,49,3.760779709790902,0.00019889670281247722,0.039732910539926856,0.0001998894231769357,1
9,,3,,,,0.0004538667578526152,0.003932835662446607,0.00692105820706319,0.006828289516058838,12.503080120761632,0.33092184718603923,0.8187100899863808,0.8378786896230246,79,1.6830302511998552,0.00016191731824865085,0.07448768513545698,0.0002091288503970527,1
10,,3,,,,0.00014820213422360427,0.004307534417738013,0.010192353868283582,0.001320905050367888,5.520398905123778,0.05825655919334276,0.794528136459207,0.9052742423553527,98,1.4776722696305806,0.0005604075531571815,0.02219137084435088,0.0002245896497950333,5
11,,3,,,,0.0005228649785122034,0.0008023007784714342,0.006687992057067538,0.005530712712606341,18.63989052315835,0.21273158116986068,0.7424308903621266,0.5441745020435974,115,4.313617747895145,0.0003378271814000165,0.058058192453310654,0.00010325851853847346,3
12,,3,,,,0.0005895468605991281,0.0012979834206050937,0.011766247803860506,0.002951195367356683,40.61194862750739,0.1788505944330421,0.39588344643492746,0.5314978327836387,163,4.597536159263909,0.00014147820258394466,0.02238002365011278,0.00018209142693935047,5
13,,3,,,,0.00037542055621046387,0.000998502526711759,0.0028566343877688247,0.0047183988994222905,21.722853582130234,0.10679160619321638,0.1761647179746885,0.9628037747443023,83,3.6494722989400574,0.0009078433927442431,0.0917981487437826,0.0001660860897040015,3
14,,3,,,,0.00016955912300017104,0.0033103993339356455,0.0196149404522216,0.004543095496996604,14.012497698975345,0.10293947910462793,0.24277640185993504,0.6096600674594075,66,3.6409937737514824,0.00031469091974705495,0.03794495579407999,0.00016993050672637025,5
15,,3,,,,0.0007518312332340653,0.0008568925905376249,0.005239512262097507,0.0035314970086486874,9.959938816972167,0.14253527167237146,0.2582023782274749,0.19031714394214885,166,3.225109475872488,0.00017229440153381705,0.08918513821994835,0.0008953665365828132,4
16,0.0,1,0.0,0.0,0.0,0.0007001360239183617,0.0008933714070713218,0.0014328334721169602,0.0033127978921767744,29.0137538835967,0.3934758364049607,0.7535658675724183,0.21525073053233107,54,4.800020608897819,0.000698943500829696,0.02611421578655037,0.0006898775519439068,1
17,0.0,1,0.0,0.0,0.0,0.0001278178321280276,0.003899835357425176,0.008215469690005521,0.008215513072302706,34.686531628740916,0.15247651060958076,0.32427932066375303,0.10833335548118622,132,4.034862594391681,0.0004971469175928712,0.054837819510832934,0.0006045728440048494,3
18,0.0,1,0.0,0.0,0.0,0.00023644389476257198,0.0007836285047931085,0.0020811512568122037,0.004078351479389785,8.987607417996001,0.05452736769581687,0.8426226707816548,0.13762344649798705,97,1.3091489520198047,0.000572071775769604,0.011088084452817813,0.0009400979173216344,2
19,0.0,1,0.0,0.0,0.0,0.0007688186159533393,0.004672550762206299,0.017054288069768355,0.0013114957914348746,6.5491961945423025,0.18402594152136115,0.11310346013464177,0.20483998480001842,76,3.997631426782672,0.0005664662510798149,0.04117451032080524,0.0002950049494761593,3
20,0.0,1,0.0,0.0,0.0,0.00018763701391694284,0.0010320030273672138,0.019085224756281348,0.004496021546054768,14.381617919545885,0.23396303443237107,0.19717038977712376,0.7882287539057774,104,1.9644610898410955,0.0004679243770736022,0.06142373059196802,0.0001164629538995169,3
21,0.0,1,0.0,0.0,0.0,0.00015724331753396825,0.0013323185017133773,0.014293833280696845,0.00648129733001654,24.249103731786775,0.22341127294099442,0.34813569670024047,0.5908982483628701,113,4.933986191962165,0.0004001091564795489,0.06522541596351251,0.0002652993946572378,4
