number,value,datetime_start,datetime_complete,duration,params_BASE_SPREAD,params_INVENTORY_EXTREME,params_MAX_POSITION,params_MAX_SPREAD,params_MIN_ORDER_SIZE,params_MIN_SPREAD,params_ORDER_LEVELS,params_ORDER_SIZE_INCREMENT,params_STOP_LOSS_PCT,params_TAKE_PROFIT_PCT,params_VOLATILITY_STD,params_VOLATILITY_WINDOW,params_maker_fee,params_volume_cap_ratio,user_attrs_max_drawdown,user_attrs_net_pnl,user_attrs_sharpe_like,state
22,-0.007523,2025-08-21 05:34:44.997662,2025-08-21 05:34:48.313876,0 days 00:00:03.316214,0.002131482612502291,0.5530590341013,0.016823802665394866,0.0050128091544271065,0.00015984557113016623,0.000141130096744053,7,0.0020688444758201192,0.0014415083943589003,0.0016645725543485029,1.7831233638337234,19,-1.26352745800098e-05,0.3996483926489658,0.007523,-0.007523,-0.0316,COMPLETE
23,-0.007581,2025-08-21 05:34:48.378297,2025-08-21 05:34:51.816997,0 days 00:00:03.438700,0.0021432415635430435,0.5607620886685512,0.026943614109655265,0.004978331977206741,0.0004019205075867374,0.00018320545161387112,8,0.0022443658917011633,0.0016070451847108261,0.0016052510530679136,1.4140948216466631,36,0.00011855892837246821,0.4148099774698652,0.007581,-0.007581,-0.0316,COMPLETE
24,-0.007517,2025-08-21 05:34:51.888981,2025-08-21 05:34:55.611901,0 days 00:00:03.722920,0.004361918497670684,0.6100059611653051,0.9556295415195304,0.007617369670471365,0.00024140864520918494,0.0014587479460406857,5,0.002804363555823912,0.002519410392291127,0.002535781334392588,1.707203481900853,49,2.488041644040464e-06,0.44522194049037067,0.007517,-0.007517,-0.0316,COMPLETE
25,-0.007597,2025-08-21 05:34:55.669724,2025-08-21 05:34:58.892545,0 days 00:00:03.222821,0.004662067807845656,0.6268024058295696,0.8523056915041491,0.00761820306821416,0.00023645402030087736,0.0011900182534972238,5,0.0028050522633160492,0.002401319102847926,0.0024610000133030562,1.7434764690529583,47,-0.00014877872520712587,0.4405405725514043,0.007597,-0.007597,-0.0316,COMPLETE
26,-0.007555,2025-08-21 05:34:58.937327,2025-08-21 05:35:02.579740,0 days 00:00:03.642413,0.003782387290480439,0.6020357909674732,0.3929183108824669,0.007930799547078862,0.0007986358120578005,0.0033418195824120923,4,0.00208246472208579,0.004173949520572843,0.0014670953461118185,2.1036737659349978,53,-7.201668204112865e-05,0.38220761500484224,0.007555,-0.007555,-0.0316,COMPLETE
27,-0.007564,2025-08-21 05:35:02.638311,2025-08-21 05:35:06.474691,0 days 00:00:03.836380,0.0028045291117328765,0.6684678883163064,0.16966862298919183,0.0054323547973124066,0.0005051710533368585,0.0011695628297312614,5,0.0006869806157890899,0.002704307091840744,0.0027496950546442023,2.4102151174268807,20,8.680660425087504e-05,0.499508556499253,0.007564,-0.007564,-0.0316,COMPLETE
28,-0.007532,2025-08-21 05:35:06.552234,2025-08-21 05:35:09.784493,0 days 00:00:03.232259,0.004894641839568821,0.7100797427466491,0.0914421805491595,0.013015597658188762,0.0002764760668815884,0.0020476373502353023,7,0.0030128931879665624,0.0035307359833418846,0.0038463721620738164,1.8544632113895734,66,2.936230102092243e-05,0.45647085184770597,0.007532,-0.007532,-0.0316,COMPLETE
29,-0.007613,2025-08-21 05:35:09.854189,2025-08-21 05:35:14.095607,0 days 00:00:04.241418,0.000542069097879334,0.5942568440767786,0.8243428958585347,0.0009843947827058192,0.0001524352760250932,0.00018005406101287408,6,0.0020620949106565363,0.02119860242703804,0.00197650548904801,2.0798744899691988,44,0.00017680497424604405,0.390545202046933,0.007613,-0.007613,-0.0316,COMPLETE
30,-0.007648,2025-08-21 05:35:14.164114,2025-08-21 05:35:17.697508,0 days 00:00:03.533394,0.004043099373046788,0.7626756412053961,0.3604193426284723,0.009383950018246061,0.0009436709928742798,0.0008681810403156415,8,0.001523240256061164,0.009412094828910084,0.003026446737600332,1.70041738362391,53,0.00024006793212984792,0.43974863991373236,0.007648,-0.007648,-0.0316,COMPLETE
31,-0.00752,2025-08-21 05:35:17.762169,2025-08-21 05:35:22.096349,0 days 00:00:04.334180,0.001774265022321032,0.5420168812537713,0.012874233309265612,0.004433861236139673,0.00014450988614092962,0.00037917423986543207,3,0.004579625616519646,0.0014514264375366456,0.004712498920807448,1.3976317316714209,34,-6.72919547993789e-06,0.3207928273249836,0.00752,-0.00752,-0.0316,COMPLETE
32,-0.007518,2025-08-21 05:35:22.176344,2025-08-21 05:35:26.484218,0 days 00:00:04.307874,0.001846270361148365,0.544012174462437,0.013562532137717548,0.004561250771402591,0.00021548164517804424,0.00041963441780605993,3,0.003745040612732391,0.0013996240229003235,0.004291531631519377,1.3352177617342642,18,3.4918511920509333e-06,0.3179925138009819,0.007518,-0.007518,-0.0316,COMPLETE
33,-0.007517,2025-08-21 05:35:26.555638,2025-08-21 05:35:31.288992,0 days 00:00:04.733354,0.0017932636665225201,0.5339671151419473,0.01166198671749754,0.004204541457151135,0.0002194966953215629,0.0003831488769514786,3,0.003926665874064585,0.002121783252003168,0.006492640777021446,1.4504626578765485,26,-1.605206074448898e-06,0.32053571004165177,0.007517,-0.007517,-0.0316,COMPLETE
34,-0.00756,2025-08-21 05:35:31.372576,2025-08-21 05:35:36.111593,0 days 00:00:04.739017,0.0029654280936906897,0.5860062945748118,0.02148037694796884,0.012166384646732064,0.00037692476819202675,0.00047823361467432267,3,0.0036823477989274232,0.0020551031480530307,0.007669623566573766,1.4907823444112671,25,-8.048022672700933e-05,0.260271157707052,0.00756,-0.00756,-0.0316,COMPLETE
35,-0.007564,2025-08-21 05:35:36.185759,2025-08-21 05:35:40.205070,0 days 00:00:04.019311,0.0023661906338417788,0.6320062112832306,0.012947673408891336,0.0032311914680541506,0.00024704719755660955,0.0003573517329790387,2,0.003983786271560566,0.002131341013729103,0.012207467333946644,1.1980740684250542,15,8.671390594870782e-05,0.3241387590922488,0.007564,-0.007564,-0.0316,COMPLETE
36,-0.007769,2025-08-21 05:35:40.284481,2025-08-21 05:35:46.129095,0 days 00:00:05.844614,0.0018438428423033124,0.5314127869383403,0.012359673310032992,0.0038776715835222657,0.0001982093898397366,0.0006156159693232331,2,0.003536879568664158,0.005197589290993291,0.009077099114273396,1.082049314762326,40,0.00046245897267401247,0.2801347496191689,0.007769,-0.007769,-0.0316,COMPLETE
37,-0.007516,2025-08-21 05:35:46.216917,2025-08-21 05:35:52.556176,0 days 00:00:06.339259,0.004188280545307553,0.5848315868331722,0.5212409634579512,0.01533018505957056,0.0005988438832525851,0.00024764745499843453,3,0.0043777726473164975,0.003074849749406353,0.006137283143665496,1.5197233921915954,59,-1.1152512133233727e-07,0.22658158726893182,0.007516,-0.007516,-0.0316,COMPLETE
38,-0.007573,2025-08-21 05:35:52.636130,2025-08-21 05:35:57.544290,0 days 00:00:04.908160,0.004183912405231516,0.5796302723588649,0.6210404959952114,0.015632474812100016,0.0013940724209873699,0.0002679222337030754,1,0.004595000666098122,0.003141776557616833,0.0059623779065974295,1.2981418478770208,79,-0.00010408513536033765,0.22317614039965783,0.007573,-0.007573,-0.0316,COMPLETE
39,-0.007561,2025-08-21 05:35:57.631090,2025-08-21 05:36:01.501146,0 days 00:00:03.870056,0.0034375624637668087,0.6574946471181737,0.522176048050802,0.019642922692562226,0.0005108559616709311,0.0008902051803537492,3,0.004239821514765336,0.0017086415639115632,0.009811044759080427,1.4891865407919145,60,8.161389878399781e-05,0.19882619566836873,0.007561,-0.007561,-0.0316,COMPLETE
40,-0.007619,2025-08-21 05:36:01.598302,2025-08-21 05:36:06.216991,0 days 00:00:04.618689,0.0006712441675690597,0.5288130902299987,0.9711943757556484,0.0026684724153532005,0.0006876935417562093,0.00032748651407413655,4,0.0039274188634580995,0.004439337855742998,0.016765329279368378,1.5451393427690867,77,-0.00018789122546337126,0.11631488012289604,0.007619,-0.007619,-0.0316,COMPLETE
41,-0.007518,2025-08-21 05:36:06.300267,2025-08-21 05:36:10.172050,0 days 00:00:03.871783,0.003520753459417293,0.6144858766034289,0.2774238378096696,0.007222323280578562,0.0003267293122724382,0.00023777853580752228,3,0.004734606863440205,0.0022693509159154527,0.005699123902164536,1.6706746598650635,50,3.964075337754682e-06,0.3738008496961839,0.007518,-0.007518,-0.0316,COMPLETE
42,-0.007549,2025-08-21 05:36:10.245214,2025-08-21 05:36:14.142433,0 days 00:00:03.897219,0.0033751027421732253,0.624760808096601,0.2259899144821588,0.00573530825556304,0.00021900454600267617,0.000257155146184147,3,0.0046959827742322794,0.0013283385911065442,0.006075342380052125,1.6845458978728682,58,-5.963583479767822e-05,0.1794677368582857,0.007549,-0.007549,-0.0316,COMPLETE
43,-0.007523,2025-08-21 05:36:14.218685,2025-08-21 05:36:18.262900,0 days 00:00:04.044215,0.004271868246105874,0.5755605895587836,0.5242966492427469,0.0071838721014488415,0.0002886585157907101,0.0005140573297168973,2,0.004220714052529236,0.0020834130091138855,0.005718257080534462,1.1940235962898789,49,1.2232953683528747e-05,0.3762738096068669,0.007523,-0.007523,-0.0316,COMPLETE
44,-0.007569,2025-08-21 05:36:18.307189,2025-08-21 05:36:22.359842,0 days 00:00:04.052653,0.004890733417637744,0.6103961895823218,0.2811203182841098,0.0059646977501183526,0.00012503730453172307,0.0020890875340241993,4,0.004828052303247083,0.001693762202397055,0.03881992891527214,1.4193292844753813,64,-9.631680594507713e-05,0.4726663135671944,0.007569,-0.007569,-0.0316,COMPLETE
45,-0.007592,2025-08-21 05:36:22.421995,2025-08-21 05:36:26.425546,0 days 00:00:04.003551,0.003670110435144033,0.6938103265632817,0.7624830582919333,0.006959607073462028,0.0004998814652556211,0.00043902932515969286,3,0.004353460540512946,0.003647775381252957,0.007735586803100457,1.3060919725342701,56,0.00013876637027229312,0.2657367192776351,0.007592,-0.007592,-0.0316,COMPLETE
46,-0.007583,2025-08-21 05:36:26.474566,2025-08-21 05:36:30.087967,0 days 00:00:03.613401,0.0038997735030961087,0.542191469827854,0.6729295815764793,0.004992516479743534,0.0003357605627351445,0.000559925296052374,5,0.0033380406700516544,0.0029182046053352825,0.003925439034689328,1.6516516248653244,90,-0.00012204227665749983,0.30341713984603064,0.007583,-0.007583,-0.0316,COMPLETE
47,-0.00754,2025-08-21 05:36:30.143394,2025-08-21 05:36:33.419456,0 days 00:00:03.276062,0.0015127696746978997,0.6509351884991326,0.39945083058468994,0.00397357301757801,0.0007678898041976716,0.00022525401998720987,1,0.004001770797399434,0.0012032645049788154,0.004218200133608073,1.5240163034278769,31,4.3318333822325625e-05,0.24470109752757993,0.00754,-0.00754,-0.0316,COMPLETE
48,-0.007524,2025-08-21 05:36:33.472449,2025-08-21 05:36:37.398459,0 days 00:00:03.926010,0.004349193536111308,0.5720654920349588,0.45084828524936615,0.008612184555448035,0.0019208262343191472,0.00031411059744387154,2,0.004422353657973608,0.0022101103257390125,0.012060595178275419,1.8056493990315863,52,1.4667126918953158e-05,0.3310544909318998,0.007524,-0.007524,-0.0316,COMPLETE
49,-0.007555,2025-08-21 05:36:37.445509,2025-08-21 05:36:40.489717,0 days 00:00:03.044208,0.0019752123153545646,0.6116871794189851,0.2840694967768706,0.01520849298723201,0.00011932141717423139,0.000253081321237001,4,0.0037586472532703317,0.005842524555501823,0.005201348652281294,1.612905720582117,72,7.147102587860704e-05,0.2813461088711414,0.007555,-0.007555,-0.0316,COMPLETE
