timestamp,side,price,quantity,fee,pnl,position_after,balance_after
2025-08-20 00:23:00,Buy,8.650865,0.001,1.7301729999999999e-06,0.0,0.001,9999.991347404826
2025-08-20 00:23:00,Buy,8.650865,0.003,5.190519e-06,0.0,0.004,9999.965389619307
2025-08-20 00:23:00,Buy,8.650865,0.005,8.650865e-06,0.0,0.009000000000000001,9999.922126643442
2025-08-20 00:23:00,Buy,8.650865,0.007,1.2111211e-05,0.0,0.016,9999.86155847723
2025-08-20 00:23:00,Buy,8.650865,0.009,1.5571556999999997e-05,0.0,0.025,9999.783685120674
2025-08-20 00:25:00,Buy,8.630863000000002,0.0008,1.3809380800000005e-06,0.0,0.0258,9999.776779049336
2025-08-20 00:25:00,Buy,8.630863000000002,0.0023,3.970196980000001e-06,0.0,0.0281,9999.75692409424
2025-08-20 00:25:00,Buy,8.620861999999999,0.0037,6.37943788e-06,0.0,0.0318,9999.725020525402
2025-08-20 00:25:00,Buy,8.620861999999999,0.0053,9.13811372e-06,0.0,0.0371,9999.679320818688
2025-08-20 00:25:00,Buy,8.620861999999999,0.0068,1.1724372319999999e-05,0.0,0.0439,9999.620687232717
2025-08-20 00:27:00,Sell,8.619138,0.001,1.7238276e-06,-2.1240039445102658e-05,0.0429,9999.629304646889
2025-08-20 00:30:00,Sell,8.629137,0.001,1.7258274000000001e-06,-1.1243039245102125e-05,0.0419,9999.637932058062
2025-08-20 00:30:00,Sell,8.629137,0.003,5.1774822e-06,-3.3729117735306376e-05,0.0389,9999.66381429158
2025-08-20 00:30:00,Sell,8.629137,0.005,8.629137000000001e-06,-5.621519622551063e-05,0.0339,9999.706951347443
2025-08-20 00:31:00,Buy,8.630863000000002,0.0007,1.2083208200000003e-06,0.0,0.0346,9999.700908535022
2025-08-20 00:31:00,Buy,8.630863000000002,0.002,3.4523452000000013e-06,0.0,0.0366,9999.683643356677
2025-08-20 00:31:00,Buy,8.630863000000002,0.0033,5.696369580000001e-06,0.0,0.0399,9999.655155812407
2025-08-20 00:31:00,Buy,8.630863000000002,0.0046,7.940393960000002e-06,0.0,0.0445,9999.615445902213
2025-08-20 00:32:00,Buy,8.620861999999999,0.0006,1.0345034399999998e-06,0.0,0.0451,9999.61027235051
2025-08-20 00:32:00,Buy,8.620861999999999,0.0017,2.9310930799999997e-06,0.0,0.0468,9999.595613954018
2025-08-20 00:32:00,Buy,8.620861999999999,0.0028,4.8276827199999995e-06,0.0,0.0496,9999.571470712735
2025-08-20 00:32:00,Buy,8.620861999999999,0.0039,6.724272359999999e-06,0.0,0.0535,9999.537842626663
2025-08-20 00:32:00,Buy,8.620861999999999,0.005,8.620861999999998e-06,0.0,0.058499999999999996,9999.494729695802
2025-08-20 00:34:00,Sell,8.619138,0.001,1.7238276e-06,-1.557033326750345e-05,0.057499999999999996,9999.503347109974
2025-08-20 00:35:00,Sell,8.629137,0.001,1.7258274000000001e-06,-5.573333067502915e-06,0.056499999999999995,9999.511974521147
2025-08-20 00:35:00,Sell,8.629137,0.003,5.1774822e-06,-1.6719999202508745e-05,0.05349999999999999,9999.537856754665
2025-08-20 00:35:00,Sell,8.629137,0.005,8.629137000000001e-06,-2.7866665337514575e-05,0.048499999999999995,9999.580993810529
2025-08-20 00:35:00,Sell,8.629137,0.007,1.2080791800000001e-05,-3.9013331472520406e-05,0.041499999999999995,9999.641385688738
2025-08-20 00:35:00,Sell,8.629137,0.009,1.55324466e-05,-5.015999760752623e-05,0.032499999999999994,9999.71903238929
2025-08-20 00:39:00,Sell,8.649135000000001,0.001,1.7298270000000003e-06,1.4420667332498156e-05,0.03149999999999999,9999.727679794463
