timestamp,open,high,low,close,volume,turnover
2024-01-01 00:00:00,42308.5,42525.6,42291.0,42525.5,299.814,12722166.1799
2024-01-01 00:15:00,42525.5,42588.6,42449.3,42458.0,300.882,12790528.0148
2024-01-01 00:30:00,42458.0,42482.5,42387.0,42474.4,212.68,9024931.5645
2024-01-01 00:45:00,42474.4,42527.0,42451.0,42508.9,100.489,4269841.671
2024-01-01 01:00:00,42508.9,42508.9,42464.5,42499.6,87.575,3720459.2664
2024-01-01 01:15:00,42499.6,42545.5,42499.5,42531.0,91.428,3888094.6544
2024-01-01 01:30:00,42531.0,42810.1,42528.6,42739.9,242.138,10345312.4625
2024-01-01 01:45:00,42739.9,42746.8,42650.8,42651.8,219.668,9381279.6208
2024-01-01 02:00:00,42651.8,42676.5,42579.3,42593.5,184.513,7862507.3703
2024-01-01 02:15:00,42593.5,67322.7,42568.0,58625.3,26985.645,1234495249.1011
2024-01-01 02:30:00,58625.3,66910.2,42572.0,42576.0,2261.275,99316021.7463
2024-01-01 02:45:00,42576.0,42626.7,42538.0,42623.5,78.687,3351541.8066
2024-01-01 03:00:00,42623.5,42628.3,42537.4,42542.1,123.318,5252624.5678
2024-01-01 03:15:00,42542.1,42547.0,42451.7,42464.3,158.316,6728422.8507
2024-01-01 03:30:00,42464.3,42489.7,42316.5,42334.6,226.707,9617188.3621
2024-01-01 03:45:00,42334.6,42388.8,42285.7,42368.0,241.462,10225443.8639
2024-01-01 04:00:00,42368.0,42414.0,42310.8,42322.1,172.422,7306428.5797
2024-01-01 04:15:00,42322.1,42352.0,42242.4,42338.7,326.644,13818302.09
2024-01-01 04:30:00,42338.7,42379.3,42319.0,42345.7,128.68,5450511.6387
2024-01-01 04:45:00,42345.7,42435.4,42337.3,42430.8,286.278,12135875.4237
2024-01-01 05:00:00,42430.8,42435.8,42353.5,42390.1,177.028,7503783.8631
2024-01-01 05:15:00,42390.1,42396.8,42326.4,42329.1,308.962,13095050.6196
2024-01-01 05:30:00,42329.1,42355.8,42308.5,42331.2,224.813,9516696.1412
2024-01-01 05:45:00,42331.2,42331.7,42220.4,42266.9,231.697,9793318.4527
2024-01-01 06:00:00,42266.9,42335.5,42240.1,42307.0,155.006,6556343.5791
2024-01-01 06:15:00,42307.0,42379.3,42300.5,42350.8,138.302,5855862.9383
2024-01-01 06:30:00,42350.8,42418.5,42338.9,42405.9,123.171,5220739.7047
2024-01-01 06:45:00,42405.9,42440.0,42399.7,42425.9,225.431,9561319.6578
2024-01-01 07:00:00,42425.9,42516.1,42422.1,42480.9,235.879,10018940.4069
2024-01-01 07:15:00,42480.9,42527.2,42464.1,42519.5,239.208,10163174.7992
2024-01-01 07:30:00,42519.5,42533.1,42478.0,42478.0,133.604,5678715.612
2024-01-01 07:45:00,42478.0,42524.3,42464.8,42524.3,90.781,3857989.4793
2024-01-01 08:00:00,42524.3,42567.7,42492.5,42546.5,261.275,11115729.4257
2024-01-01 08:15:00,42546.5,42576.2,42509.0,42515.5,162.531,6913116.8047
2024-01-01 08:30:00,42515.5,42540.2,42494.9,42529.6,95.607,4064975.7409
2024-01-01 08:45:00,42529.6,42593.3,42523.1,42583.5,205.514,8748231.0126
2024-01-01 09:00:00,42583.5,42608.9,42572.5,42600.7,116.428,4958819.5468
2024-01-01 09:15:00,42600.7,42699.0,42600.7,42625.7,271.249,11569039.1495
2024-01-01 09:30:00,42625.7,42731.7,42625.3,42680.8,287.849,12289734.4388
2024-01-01 09:45:00,42680.8,42728.5,42660.4,42687.4,166.302,7097701.7809
2024-01-01 10:00:00,42687.4,42733.9,42683.8,42704.4,111.182,4747586.7139
2024-01-01 10:15:00,42704.4,42742.9,42666.0,42703.3,187.48,8004644.8128
2024-01-01 10:30:00,42703.3,42749.6,42700.7,42749.6,81.377,3477049.6493
2024-01-01 10:45:00,42749.6,42778.0,42729.1,42731.9,190.85,8160123.7298
2024-01-01 11:00:00,42731.9,42797.3,42726.9,42731.7,356.312,15238913.8466
2024-01-01 11:15:00,42731.7,42758.6,42687.4,42722.9,207.07,8846405.8335
2024-01-01 11:30:00,42722.9,42724.6,42640.0,42644.6,146.782,6263482.0796
2024-01-01 11:45:00,42644.6,42740.0,42644.6,42724.0,149.922,6398964.3399
